YEAR,DOY,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,PRECTOTCORR,WS10M_MAX,WS10M_MIN,GWETTOP,GWETROOT,GWETPROF,PS,WS10M,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT
2015,1,15.95,2.59,0.22,2.05,0.95,0.9,0.94,0.9,79.42,1.61,112.84,127.79
2015,2,16.8,2.71,0.04,2.74,1.11,0.89,0.93,0.9,79.46,1.98,120.88,127.05
2015,3,17.73,2.82,0.51,2.59,1.14,0.88,0.92,0.88,79.48,1.97,127.29,128.41
2015,4,16.84,2.67,1.28,2.71,0.95,0.88,0.91,0.88,79.53,1.87,121.57,126.91
2015,5,16.47,2.62,2.71,2.54,1.04,0.88,0.91,0.88,79.55,1.82,117.86,127.16
2015,6,17.66,2.8,0.47,2.38,0.74,0.88,0.9,0.87,79.47,1.58,126.61,128.96
2015,7,17.64,2.7,0.0,2.52,0.77,0.87,0.89,0.86,79.37,1.61,126.16,129.3
2015,8,14.38,2.37,0.0,1.8,0.7,0.87,0.88,0.85,79.4,1.42,100.71,125.44
2015,9,15.09,2.49,0.0,1.77,0.78,0.86,0.88,0.84,79.42,1.37,107.77,125.27
2015,10,15.58,2.7,0.73,1.9,1.03,0.86,0.87,0.84,79.51,1.55,111.12,126.34
2015,11,15.69,2.52,0.29,1.82,0.84,0.85,0.87,0.84,79.48,1.45,113.23,124.54
2015,12,14.6,2.5,1.49,2.01,0.64,0.85,0.86,0.83,79.45,1.3,102.98,124.21
2015,13,12.16,2.11,0.57,1.38,0.14,0.85,0.86,0.83,79.47,0.73,76.53,128.13
2015,14,11.82,1.99,1.35,1.66,0.62,0.85,0.85,0.82,79.46,1.14,76.09,124.7
2015,15,13.22,2.27,3.39,2.28,0.19,0.85,0.85,0.82,79.48,1.15,88.27,125.27
2015,16,13.12,2.22,8.16,2.44,0.59,0.86,0.85,0.82,79.54,1.24,85.45,127.15
2015,17,12.14,2.07,12.01,1.23,0.27,0.87,0.87,0.83,79.54,0.89,79.24,124.99
2015,18,13.84,2.34,2.85,1.59,0.85,0.86,0.87,0.84,79.56,1.18,92.85,128.8
2015,19,13.84,2.35,1.56,1.83,0.59,0.86,0.87,0.84,79.49,1.28,93.95,126.78
2015,20,15.1,2.58,8.6,1.09,0.41,0.87,0.87,0.84,79.42,0.74,104.52,126.15
2015,21,11.63,2.09,10.82,1.32,0.43,0.88,0.88,0.84,79.46,0.92,78.81,124.07
2015,22,11.48,1.93,6.59,1.36,0.3,0.88,0.88,0.85,79.53,0.66,78.87,121.88
2015,23,12.68,2.1,3.8,1.07,0.08,0.88,0.89,0.85,79.5,0.58,86.34,128.48
2015,24,13.52,2.27,1.38,1.18,0.47,0.87,0.89,0.85,79.47,0.86,94.38,127.18
2015,25,12.98,2.12,0.06,1.07,0.7,0.87,0.88,0.85,79.39,0.9,90.17,127.25
2015,26,14.27,2.41,0.21,1.93,0.69,0.86,0.88,0.84,79.38,1.17,100.58,126.18
2015,27,9.64,1.57,0.25,2.29,0.81,0.86,0.87,0.84,79.4,1.34,69.52,111.95
2015,28,10.97,1.84,0.01,1.34,0.38,0.85,0.87,0.84,79.38,0.91,73.53,127.73
2015,29,15.03,2.58,0.02,2.32,0.69,0.85,0.86,0.83,79.35,1.52,105.03,127.67
2015,30,13.06,2.3,2.0,2.16,0.26,0.85,0.85,0.82,79.4,1.22,86.65,126.9
2015,31,12.16,2.13,2.98,1.46,0.66,0.85,0.85,0.82,79.43,1.13,81.66,123.2
2015,32,14.6,2.56,1.16,1.52,0.55,0.85,0.85,0.82,79.47,1.05,99.68,128.55
2015,33,15.67,2.67,0.88,1.8,0.56,0.84,0.85,0.82,79.47,1.25,105.65,132.3
2015,34,14.68,2.6,0.72,2.34,0.39,0.84,0.84,0.82,79.44,1.3,96.67,132.64
2015,35,16.52,2.91,0.83,2.05,0.57,0.84,0.84,0.81,79.36,1.23,111.41,135.18
2015,36,11.26,2.02,2.7,2.26,0.5,0.84,0.84,0.81,79.39,1.27,70.2,134.43
2015,37,8.66,1.45,7.71,1.38,0.65,0.85,0.84,0.81,79.44,0.95,58.63,125.93
2015,38,10.09,1.71,12.87,1.23,0.66,0.86,0.85,0.82,79.45,1.0,69.63,123.17
2015,39,8.78,1.45,16.88,1.04,0.04,0.88,0.88,0.84,79.52,0.57,58.43,127.07
2015,40,11.07,1.91,19.15,1.52,0.38,0.88,0.88,0.85,79.52,1.09,74.76,129.64
2015,41,11.57,2.01,21.47,1.47,0.04,0.9,0.91,0.88,79.47,0.8,77.29,132.66
2015,42,10.98,1.84,8.29,1.37,0.52,0.9,0.92,0.88,79.48,0.84,75.98,127.87
2015,43,12.05,2.06,4.51,2.17,0.54,0.89,0.91,0.88,79.55,1.11,88.41,121.55
2015,44,11.99,2.07,2.08,2.54,0.88,0.88,0.91,0.88,79.54,1.43,84.11,128.76
2015,45,12.62,2.12,0.24,2.34,0.62,0.88,0.91,0.88,79.52,1.3,91.49,127.24
2015,46,12.62,2.16,0.54,2.0,1.02,0.88,0.91,0.88,79.46,1.3,89.77,130.67
2015,47,15.5,2.63,0.52,1.8,1.09,0.88,0.9,0.87,79.42,1.37,110.21,135.94
2015,48,15.44,2.59,0.96,1.58,0.76,0.87,0.89,0.86,79.48,1.16,109.87,136.54
2015,49,13.55,2.31,1.81,1.35,0.23,0.87,0.89,0.85,79.54,0.9,96.34,132.7
2015,50,12.51,2.13,0.63,1.76,0.73,0.87,0.88,0.85,79.47,1.09,88.7,128.88
2015,51,14.38,2.49,7.43,1.84,0.55,0.87,0.88,0.84,79.42,1.11,103.31,130.21
2015,52,17.23,2.98,2.86,2.0,1.05,0.87,0.88,0.85,79.45,1.5,124.54,137.62
2015,53,16.9,2.82,0.01,2.41,0.84,0.86,0.88,0.84,79.41,1.5,124.29,133.24
2015,54,14.14,2.32,0.05,1.84,0.73,0.86,0.88,0.84,79.42,1.2,104.32,125.31
2015,55,13.61,2.27,0.21,1.2,0.12,0.86,0.87,0.84,79.41,0.77,95.62,133.24
2015,56,13.59,2.27,0.0,1.17,0.16,0.85,0.87,0.84,79.41,0.73,98.69,128.99
2015,57,11.87,1.98,1.13,0.88,0.29,0.85,0.86,0.83,79.39,0.61,85.03,129.21
2015,58,13.77,2.4,5.34,2.18,0.73,0.86,0.86,0.83,79.43,1.19,97.62,136.11
